repeat,effect_size,severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
3,0.45,0.25,target,0.1429295942440566,0.002,1.0,180.0,146.49383024640608,1.0,2.101606333931751
3,0.45,0.25,both,0.11458191529780792,0.008,1.0,151.04120226017574,146.49383024640608,1.8529626589250903,2.101606333931751
3,0.45,0.25,crump,0.1921593707543747,0.002,1.0,178.0,179.0,1.0,1.0
3,0.6,0.25,unweighted,0.20344650491540925,0.002,1.0,180.0,180.0,1.0,1.0
3,0.6,0.25,source,0.17896833365727002,0.002,1.0,151.04120226017574,180.0,1.8529626589250903,1.0
3,0.6,0.25,target,0.15433348228944516,0.002,1.0,180.0,146.49383024640608,1.0,2.101606333931751
3,0.6,0.25,both,0.12489438992706173,0.002,1.0,151.04120226017574,146.49383024640608,1.8529626589250903,2.101606333931751
3,0.6,0.25,crump,0.20188217535711445,0.002,1.0,178.0,179.0,1.0,1.0
4,0.0,0.25,unweighted,0.16767524577046183,0.002,1.0,180.0,180.0,1.0,1.0
4,0.0,0.25,source,0.1446125379039841,0.002,1.0,148.7931922528914,180.0,2.020547454982799,1.0
4,0.0,0.25,target,0.11214364917313775,0.01,1.0,180.0,145.42534974499708,1.0,1.9971528138798347
4,0.0,0.25,both,0.08581214830683784,0.472,0.0,148.7931922528914,145.42534974499708,2.020547454982799,1.9971528138798347
4,0.0,0.25,crump,0.16362316166016966,0.002,1.0,175.0,178.0,1.0,1.0
4,0.15,0.25,unweighted,0.17577205551745162,0.002,1.0,180.0,180.0,1.0,1.0
4,0.15,0.25,source,0.15235765976844814,0.002,1.0,148.7931922528914,180.0,2.020547454982799,1.0
4,0.15,0.25,target,0.12148054776866464,0.002,1.0,180.0,145.42534974499708,1.0,1.9971528138798347
4,0.15,0.25,both,0.09421383120776101,0.22,0.0,148.7931922528914,145.42534974499708,2.020547454982799,1.9971528138798347
4,0.15,0.25,crump,0.17179928482982276,0.002,1.0,175.0,178.0,1.0,1.0
4,0.3,0.25,unweighted,0.18500136412132295,0.002,1.0,180.0,180.0,1.0,1.0
4,0.3,0.25,source,0.16106344881889043,0.002,1.0,148.7931922528914,180.0,2.020547454982799,1.0
4,0.3,0.25,target,0.13230153866908662,0.002,1.0,180.0,145.42534974499708,1.0,1.9971528138798347
4,0.3,0.25,both,0.10405165314067773,0.05,0.0,148.7931922528914,145.42534974499708,2.020547454982799,1.9971528138798347
4,0.3,0.25,crump,0.18114653021915028,0.002,1.0,175.0,178.0,1.0,1.0
4,0.45,0.25,unweighted,0.1939205008763908,0.002,1.0,180.0,180.0,1.0,1.0
4,0.45,0.25,source,0.1702108643220133,0.002,1.0,148.7931922528914,180.0,2.020547454982799,1.0
4,0.45,0.25,target,0.1427505935999993,0.002,1.0,180.0,145.42534974499708,1.0,1.9971528138798347
