repeat,effect_size,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
2,0.0,overlap,0.08184280267723362,0.595,0.0,179.70552056391784,178.8228122768368,0.24999971635484336,0.2499933257496164
2,0.15,unweighted,0.09768886316872427,0.09,0.0,180.0,180.0,1.0,1.0
2,0.15,source,0.08726105829489882,0.375,0.0,174.49063379901332,180.0,1.4429626984328894,1.0
2,0.15,target,0.07921731556526501,0.67,0.0,180.0,167.62537000289475,1.0,1.5536520373952796
2,0.15,both,0.06966985294839104,0.925,0.0,174.49063379901332,167.62537000289475,1.4429626984328894,1.5536520373952796
2,0.15,crump,0.09768886316872427,0.09,0.0,180.0,180.0,1.0,1.0
2,0.15,overlap,0.09492755905612568,0.14,0.0,179.70552056391784,178.8228122768368,0.24999971635484336,0.2499933257496164
2,0.3,unweighted,0.11223118522328913,0.005,1.0,180.0,180.0,1.0,1.0
2,0.3,source,0.10090883731726338,0.07,0.0,174.49063379901332,180.0,1.4429626984328894,1.0
2,0.3,target,0.09435828012969985,0.16,0.0,180.0,167.62537000289475,1.0,1.5536520373952796
2,0.3,both,0.08368632114244448,0.52,0.0,174.49063379901332,167.62537000289475,1.4429626984328894,1.5536520373952796
2,0.3,crump,0.11223118522328913,0.005,1.0,180.0,180.0,1.0,1.0
2,0.3,overlap,0.11028444645359338,0.005,1.0,179.70552056391784,178.8228122768368,0.24999971635484336,0.2499933257496164
2,0.45,unweighted,0.12856131782502667,0.005,1.0,180.0,180.0,1.0,1.0
2,0.45,source,0.11677809424883678,0.005,1.0,174.49063379901332,180.0,1.4429626984328894,1.0
2,0.45,target,0.1118047683881362,0.005,1.0,180.0,167.62537000289475,1.0,1.5536520373952796
2,0.45,both,0.1003984014925844,0.07,0.0,174.49063379901332,167.62537000289475,1.4429626984328894,1.5536520373952796
2,0.45,crump,0.12856131782502667,0.005,1.0,180.0,180.0,1.0,1.0
2,0.45,overlap,0.12769926233696258,0.005,1.0,179.70552056391784,178.8228122768368,0.24999971635484336,0.2499933257496164
2,0.6,unweighted,0.1451216144642585,0.005,1.0,180.0,180.0,1.0,1.0
2,0.6,source,0.13304868706038064,0.005,1.0,174.49063379901332,180.0,1.4429626984328894,1.0
2,0.6,target,0.1299698007836228,0.005,1.0,180.0,167.62537000289475,1.0,1.5536520373952796
2,0.6,both,0.11802237805577132,0.005,1.0,174.49063379901332,167.62537000289475,1.4429626984328894,1.5536520373952796
2,0.6,crump,0.1451216144642585,0.005,1.0,180.0,180.0,1.0,1.0
2,0.6,overlap,0.14528379473882097,0.005,1.0,179.70552056391784,178.8228122768368,0.24999971635484336,0.2499933257496164
3,0.0,unweighted,0.08529329180003051,0.46,0.0,180.0,180.0,1.0,1.0
3,0.0,source,0.07151946860562952,0.9,0.0,172.4074463469652,180.0,1.6348829867147778,1.0
3,0.0,target,0.06729763855890807,0.945,0.0,180.0,165.63398158155275,1.0,1.645759106670997
3,0.0,both,0.055098328751832105,1.0,0.0,172.4074463469652,165.63398158155275,1.6348829867147778,1.645759106670997
3,0.0,crump,0.08529329180003051,0.46,0.0,180.0,180.0,1.0,1.0
3,0.0,overlap,0.08148886903180419,0.615,0.0,179.43734489224778,178.24611682692833,0.24999972239009804,0.24999969810338576
3,0.15,unweighted,0.09972084571711629,0.105,0.0,180.0,180.0,1.0,1.0
3,0.15,source,0.08434669417437463,0.525,0.0,172.4074463469652,180.0,1.6348829867147778,1.0
3,0.15,target,0.08226664883747235,0.6,0.0,180.0,165.63398158155275,1.0,1.645759106670997
3,0.15,both,0.06821732345631609,0.945,0.0,172.4074463469652,165.63398158155275,1.6348829867147778,1.645759106670997
3,0.15,crump,0.09972084571711629,0.105,0.0,180.0,180.0,1.0,1.0
3,0.15,overlap,0.09704139441849548,0.15,0.0,179.43734489224778,178.24611682692833,0.24999972239009804,0.24999969810338576
3,0.3,unweighted,0.11462590401615608,0.005,1.0,180.0,180.0,1.0,1.0
3,0.3,source,0.09814695804041393,0.11,0.0,172.4074463469652,180.0,1.6348829867147778,1.0
3,0.3,target,0.09792761301317066,0.13,0.0,180.0,165.63398158155275,1.0,1.645759106670997
3,0.3,both,0.08249484610090567,0.61,0.0,172.4074463469652,165.63398158155275,1.6348829867147778,1.645759106670997
3,0.3,crump,0.11462590401615608,0.005,1.0,180.0,180.0,1.0,1.0
3,0.3,overlap,0.11304675410203298,0.015,1.0,179.43734489224778,178.24611682692833,0.24999972239009804,0.24999969810338576
3,0.45,unweighted,0.1299787122770919,0.005,1.0,180.0,180.0,1.0,1.0
3,0.45,source,0.11258293100776741,0.01,1.0,172.4074463469652,180.0,1.6348829867147778,1.0
3,0.45,target,0.11451070168570346,0.01,1.0,180.0,165.63398158155275,1.0,1.645759106670997
3,0.45,both,0.09784499475407601,0.12,0.0,172.4074463469652,165.63398158155275,1.6348829867147778,1.645759106670997
3,0.45,crump,0.1299787122770919,0.005,1.0,180.0,180.0,1.0,1.0
3,0.45,overlap,0.129601053153099,0.005,1.0,179.43734489224778,178.24611682692833,0.24999972239009804,0.24999969810338576
3,0.6,unweighted,0.14797284903215974,0.005,1.0,180.0,180.0,1.0,1.0
3,0.6,source,0.12988722582189505,0.005,1.0,172.4074463469652,180.0,1.6348829867147778,1.0
3,0.6,target,0.13437771795289477,0.005,1.0,180.0,165.63398158155275,1.0,1.645759106670997
3,0.6,both,0.11663300352188122,0.01,1.0,172.4074463469652,165.63398158155275,1.6348829867147778,1.645759106670997
3,0.6,crump,0.14797284903215974,0.005,1.0,180.0,180.0,1.0,1.0
